Crop,Pest,Pesticide,Application Method,Dosage
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mothbeans,Aphids,Imidacloprid,Spray,0.5 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
mungbean,Pod Borer,Spinosad,Spray,2.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
muskmelon,Aphids,Imidacloprid,Soil Drench,1.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
orange,Citrus Psylla,Pyrethrin,Spray,2.0 ml/L
